numero_sequencial;descricao_cargo;nome_urna;descricao_cor_raca;descricao_estado_civil;descricao_genero;descricao_grau_instrucao;sigla_uf_nascimento;nome_partido;sigla_partido;patrimonio;total_votos_brasil
190000607887;DEPUTADO FEDERAL;MADRUGA;PARDA;SOLTEIRO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;PARTIDO SOCIAL CRISTAO;PSC;0;185
190000608998;DEPUTADO ESTADUAL;ANDRE ARQUITETO;BRANCA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;RJ;DEMOCRATAS;DEM;17500;549
190000616064;DEPUTADO ESTADUAL;ALE  MARINS;PARDA;DIVORCIADO(A);FEMININO;ENSINO MEDIO COMPLETO;RJ;PARTIDO DA MOBILIZACAO NACIONAL;PMN;0;45
190000611433;DEPUTADO ESTADUAL;CARLOS SAMUCA;BRANCA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;MA;PARTIDO REPUBLICANO DA ORDEM SOCIAL;PROS;0;336
190000622884;DEPUTADO ESTADUAL;IRMAO MARLLON;PARDA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;PATRIOTA;PATRI;18000;229
190000621110;DEPUTADO ESTADUAL;LEVI RODRIGUES DE SOUZA;BRANCA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;PODEMOS;PODE;0;0
190000602144;DEPUTADO ESTADUAL;NEGA GIZZA;PRETA;SOLTEIRO(A);FEMININO;ENSINO MEDIO INCOMPLETO;RJ;PARTIDO SOCIALISMO E LIBERDADE;PSOL;0;0
190000609046;DEPUTADO ESTADUAL;DR. IZIDORO;BRANCA;DIVORCIADO(A);MASCULINO;SUPERIOR COMPLETO;PR;DEMOCRATAS;DEM;961070,65;1337
190000611185;DEPUTADO ESTADUAL;JORDAN COSTA;BRANCA;SOLTEIRO(A);MASCULINO;SUPERIOR INCOMPLETO;RJ;PARTIDO DOS TRABALHADORES;PT;5000;665
190000613589;DEPUTADO FEDERAL;PROFESSOR LEAO;BRANCA;SOLTEIRO(A);MASCULINO;SUPERIOR COMPLETO;MA;PARTIDO DOS TRABALHADORES;PT;261000;1311
190000606118;DEPUTADO ESTADUAL;DIEGO ALMEIDA;PARDA;SOLTEIRO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;PARTIDO HUMANISTA DA SOLIDARIEDADE;PHS;0;419
190000614653;DEPUTADO FEDERAL;CLEBIO LOPES JACARE;PARDA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;PARTIDO SOCIAL LIBERAL;PSL;3979122;16153
190000607844;DEPUTADO FEDERAL;TIAGO PRATES;PARDA;SOLTEIRO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;PARTIDO SOCIAL CRISTAO;PSC;33000;2328
190000608718;DEPUTADO ESTADUAL;MARCOS TEIXEIRA TAVARES;BRANCA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;RJ;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;PSDB;0;0
190000608681;DEPUTADO ESTADUAL;EVERALDO VEVE;BRANCA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;PSDB;2015727,23;2415
190000606086;DEPUTADO FEDERAL;HELENA CAMARGO;BRANCA;SOLTEIRO(A);FEMININO;ENSINO FUNDAMENTAL COMPLETO;RJ;PARTIDO HUMANISTA DA SOLIDARIEDADE;PHS;0;73
190000626239;DEPUTADO ESTADUAL;BISPO GLEIBE DE ANDRADE;BRANCA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;RJ;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;PRTB;4195000;0
190000603339;DEPUTADO ESTADUAL;LUCIANO BARESE;PARDA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;RJ;PARTIDO TRABALHISTA BRASILEIRO;PTB;0;349
190000629586;DEPUTADO ESTADUAL;ALVARO CARDOSO;PRETA;CASADO(A);MASCULINO;SUPERIOR INCOMPLETO;RJ;AVANTE;AVANTE;0;0
190000622929;DEPUTADO ESTADUAL;VALERIA MATOS;PARDA;CASADO(A);FEMININO;SUPERIOR COMPLETO;RJ;PARTIDO SOCIALISTA BRASILEIRO;PSB;230000;0
190000616201;DEPUTADO FEDERAL;ABIGUAR;PRETA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;AVANTE;AVANTE;0;1291
190000616135;DEPUTADO ESTADUAL;FABIO MELAO;PARDA;SOLTEIRO(A);MASCULINO;SUPERIOR COMPLETO;RJ;PARTIDO DA MOBILIZACAO NACIONAL;PMN;2978,83;463
190000611428;DEPUTADO ESTADUAL;NIKINHO SOUZA;BRANCA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;RJ;PARTIDO REPUBLICANO DA ORDEM SOCIAL;PROS;0;822
190000611464;DEPUTADO ESTADUAL;MARCELO ESTRADA;BRANCA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;RJ;PARTIDO REPUBLICANO DA ORDEM SOCIAL;PROS;417982,41;599
190000621061;DEPUTADO ESTADUAL;NEIDE SALDANHA;PARDA;CASADO(A);FEMININO;ENSINO MEDIO COMPLETO;RJ;PODEMOS;PODE;0;5
190000622255;DEPUTADO ESTADUAL;ANDREZINHO;BRANCA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;RJ;PARTIDO DEMOCRATICO TRABALHISTA;PDT;0;235
190000613043;DEPUTADO ESTADUAL;SONINHA TODA PURA;PARDA;SOLTEIRO(A);FEMININO;ENSINO MEDIO COMPLETO;RJ;AVANTE;AVANTE;0;797
190000610701;DEPUTADO ESTADUAL;REGINALDO PAPEL;PARDA;CASADO(A);MASCULINO;ENSINO MEDIO INCOMPLETO;RJ;PARTIDO COMUNISTA DO BRASIL;PC DO B;0;287
190000603284;DEPUTADO ESTADUAL;ANDREIA ELISA;PARDA;SOLTEIRO(A);FEMININO;ENSINO MEDIO COMPLETO;RJ;SOLIDARIEDADE;SOLIDARIEDADE;0;733
190000613600;SENADOR;LINDBERGH;BRANCA;SOLTEIRO(A);MASCULINO;ENSINO MEDIO COMPLETO;PB;PARTIDO DOS TRABALHADORES;PT;221782,04;1419676
190000628469;DEPUTADO ESTADUAL;MANOEL MARCOS;PARDA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;PATRIOTA;PATRI;90000;197
190000614743;DEPUTADO ESTADUAL;MAGU SEIXAS;BRANCA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;PARTIDO SOCIAL LIBERAL;PSL;0;382
190000614639;DEPUTADO FEDERAL;SARGENTO FIRMINO;PARDA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;PARTIDO SOCIAL LIBERAL;PSL;147533,16;2405
190000622197;DEPUTADO ESTADUAL;CIDINHA CAMPOS;BRANCA;CASADO(A);FEMININO;SUPERIOR COMPLETO;SP;PARTIDO DEMOCRATICO TRABALHISTA;PDT;55899,05;31265
190000611495;DEPUTADO ESTADUAL;RODRIGO NECA;BRANCA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;RJ;PARTIDO REPUBLICANO DA ORDEM SOCIAL;PROS;274554,72;9959
190000610771;DEPUTADO ESTADUAL;MESAQUE DAUMAS;BRANCA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;PARTIDO COMUNISTA DO BRASIL;PC DO B;0;101
190000618414;DEPUTADO ESTADUAL;JERRI MIRANDA;PARDA;SOLTEIRO(A);MASCULINO;SUPERIOR INCOMPLETO;RJ;MOVIMENTO DEMOCRATICO BRASILEIRO;MDB;0;0
190000602096;DEPUTADO FEDERAL;IZABEL FIRMINO;PRETA;SOLTEIRO(A);FEMININO;SUPERIOR COMPLETO;MG;PARTIDO SOCIALISMO E LIBERDADE;PSOL;5000;505
190000624723;DEPUTADO ESTADUAL;CELSO DA MARE;BRANCA;SOLTEIRO(A);MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;MG;PARTIDO REPUBLICANO PROGRESSISTA;PRP;83000;305
190000618061;DEPUTADO ESTADUAL;ANTONIO CARLOS  O SECRETARIO;PARDA;DIVORCIADO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;PARTIDO TRABALHISTA CRISTAO;PTC;0;128
190000626437;DEPUTADO FEDERAL;LUCIANO DE JESUS;PRETA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;PARTIDO REPUBLICANO BRASILEIRO;PRB;0;280
190000601140;DEPUTADO FEDERAL;HUGO LEAL;BRANCA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;MG;PARTIDO SOCIAL DEMOCRATICO;PSD;2197052,86;63561
